stockcode,description,keyword,groupcode
10002,inflatable political globe,"{'inflatable', 'political', 'globe'}",10002
10080,groovy cactus inflatable,"{'groovy', 'inflatable', 'cactus'}",10080
10120,doggy rubber,"{'doggy', 'rubber'}",10120
10123c,hearts wrapping tape,"{'heart', 'wrapping', 'tape'}",10123c
10124a,spots on red bookcover tape,"{'spot', 'red', 'tape', 'bookcover'}",10124a
10124g,army camo bookcover tape,"{'army', 'camo', 'tape', 'bookcover'}",10124g
10125,mini funky design tapes,"{'mini', 'funky', 'design', 'tape'}",10125
10133,colouring pencils brown tube,"{'pencil', 'brown', 'tube', 'colouring'}",10133
10135,colouring pencils brown tube,"{'pencil', 'brown', 'tube', 'colouring'}",10133
11001,asstd design racing car pen,"{'car', 'pen', 'design', 'asstd', 'racing'}",11001
15030,fan black frame,"{'black', 'frame', 'fan'}",15030
15034,paper pocket traveling fan,"{'pocket', 'fan', 'traveling', 'paper'}",15034
15036,assorted colours silk fan,"{'colour', 'silk', 'assorted', 'fan'}",20749
15039,sandalwood fan,"{'sandalwood', 'fan'}",15039
15044a,pink paper parasol,"{'pink', 'parasol', 'paper'}",15044a
15044b,blue paper parasol,"{'blue', 'parasol', 'paper'}",15044b
15044c,purple paper parasol,"{'purple', 'parasol', 'paper'}",15044c
15044d,red paper parasol,"{'red', 'parasol', 'paper'}",15044d
15056bl,edwardian parasol black,"{'black', 'edwardian', 'parasol'}",15056bl
15056n,edwardian parasol natural,"{'natural', 'parasol', 'edwardian'}",15056n
15056p,edwardian parasol pink,"{'pink', 'edwardian', 'parasol'}",15056p
15058a,blue polkadot garden parasol,"{'blue', 'polkadot', 'parasol', 'garden'}",15058a
15058b,pink polkadot garden parasol,"{'polkadot', 'pink', 'parasol', 'garden'}",15058a
15058c,ice cream design garden parasol,"{'ice', 'cream', 'design', 'parasol', 'garden'}",15058c
15060b,fairy cake design umbrella,"{'cake', 'umbrella', 'design', 'fairy'}",22720
16008,small folding scissorpointed edge,"{'small', 'edge', 'folding', 'scissorpointed'}",16008
16010,folding camping scissor wknif s,"{'wknif', 'camping', 'scissor', 'folding'}",16010
16011,animal stickers,"{'animal', 'sticker'}",16011
16012,fooddrink sponge stickers,"{'fooddrink', 'sticker', 'sponge'}",16012
16014,small chinese style scissor,"{'small', 'scissor', 'chinese', 'style'}",16014
16015,medium chinese style scissor,"{'medium', 'scissor', 'chinese', 'style'}",16014
16016,large chinese style scissor,"{'chinese', 'large', 'scissor', 'style'}",16014
16020c,clear stationery box set,"{'set', 'box', 'clear', 'stationery'}",16020c
16033,mini highlighter pens,"{'mini', 'pen', 'highlighter'}",16033
16043,pop art push down rubber,"{'pop', 'push', 'rubber', 'art'}",16043
16045,popart wooden pencils asst,"{'pencil', 'wooden', 'popart', 'asst'}",16045
16046,teatime pen case pens,"{'pen', 'case', 'teatime'}",16046
16048,teatime round pencil sharpener,"{'round', 'sharpener', 'teatime', 'pencil'}",16048
16049,teatime gel pens asst,"{'asst', 'gel', 'pen', 'teatime'}",16049
16052,teatime push down rubber,"{'push', 'rubber', 'teatime'}",16052
16054,popart rect pencil sharpener asst,"{'sharpener', 'pencil', 'asst', 'popart', 'rect'}",16045
16151a,flowers handbag blue and orange,"{'handbag', 'blue', 'flower', 'orange'}",16151a
16156l,wrap carousel,"{'carousel', 'wrap'}",16156l
16156s,wrap pink fairy cakes,"{'pink', 'cake', 'fairy', 'wrap'}",21621
16161g,wrap bad hair day,"{'day', 'hair', 'wrap', 'bad'}",16161g
16161m,wrap pink flock,"{'pink', 'wrap', 'flock'}",16161m
16161p,wrap english rose,"{'rose', 'english', 'wrap'}",16161p
16161u,wrap suki and friends,"{'wrap', 'suki', 'friend'}",16161u
16162l,the king gift bag,"{'gift', 'bag', 'king'}",16162l
16162m,the king gift bag xxcm,"{'gift', 'xxcm', 'bag', 'king'}",16162l
16168m,funky monkey gift bag medium,"{'funky', 'gift', 'medium', 'monkey', 'bag'}",16168m
16169e,wrap s christmas,"{'christmas', 'wrap'}",16169e
16169k,wrap folk art,"{'folk', 'wrap', 'art'}",16169k
16169m,wrap daisy carpet,"{'daisy', 'wrap', 'carpet'}",16169m
16169n,wrap blue russian folkart,"{'blue', 'russian', 'wrap', 'folkart'}",16169n
16169p,wrap green russian folkart,"{'green', 'russian', 'wrap', 'folkart'}",16169n
16202a,pastel pink photo album,"{'pink', 'album', 'photo', 'pastel'}",16202a
16202b,pastel blue photo album,"{'blue', 'album', 'photo', 'pastel'}",16202a
16202e,black photo album,"{'black', 'album', 'photo'}",84600
16206b,red purse with pink heart,"{'heart', 'pink', 'red', 'purse'}",16206b
16207a,pink strawberry handbag,"{'strawberry', 'pink', 'handbag'}",16207a
16207b,pink heart red handbag,"{'handbag', 'heart', 'pink', 'red'}",16206b
16216,letter shape pencil sharpener,"{'shape', 'sharpener', 'letter', 'pencil'}",16216
16218,cartoon pencil sharpeners,"{'pencil', 'sharpener', 'cartoon'}",16218
16219,house shape pencil sharpener,"{'shape', 'sharpener', 'house', 'pencil'}",16216
16225,rattle snake eggs,"{'egg', 'snake', 'rattle'}",16225
16235,recycled pencil with rabbit eraser,"{'pencil', 'recycled', 'eraser', 'rabbit'}",16235
16236,kitty pencil erasers,"{'pencil', 'eraser', 'kitty'}",16236
16237,sleeping cat erasers,"{'sleeping', 'eraser', 'cat'}",16237
16238,party time pencil erasers,"{'pencil', 'party', 'time', 'eraser'}",16238
16244b,maxwell tone blue page photo a,"{'page', 'photo', 'maxwell', 'blue', 'tone'}",16244b
16248b,blue hole punch,"{'blue', 'hole', 'punch'}",16248b
16254,transparent acrylic tape dispenser,"{'dispenser', 'acrylic', 'tape', 'transparent'}",16254
16258a,swirly circular rubbers in bag,"{'rubber', 'swirly', 'bag', 'circular'}",16258a
16259,piece of camo stationery set,"{'set', 'piece', 'camo', 'stationery'}",16259
17001,heavens scent fragrance oils asstd,"{'asstd', 'oil', 'heaven', 'scent', 'fragrance'}",17001
17003,brocade ring purse,"{'brocade', 'purse', 'ring'}",17003
17007b,s pot pouri cushions blue colours,"{'cushion', 'colour', 'pouri', 'pot', 'blue'}",17007b
17011f,origami sandlewood incenseflower,"{'incenseflower', 'sandlewood', 'origami'}",17011f
17012a,origami vanilla incensecandle set,"{'set', 'origami', 'vanilla', 'incensecandle'}",17012a
17012b,origami jasmine incensecandle set,"{'jasmine', 'origami', 'set', 'incensecandle'}",17012a
17012c,origami lavender incensecandl set,"{'set', 'origami', 'incensecandl', 'lavender'}",17012c
17012d,origami rose incensecandle set,"{'set', 'rose', 'origami', 'incensecandle'}",17012a
17012e,origami opium incensecandle set,"{'set', 'origami', 'opium', 'incensecandle'}",17012a
17012f,origami sandlewood incensecand set,"{'set', 'incensecand', 'sandlewood', 'origami'}",17012f
17013d,origami rose incense in tube,"{'rose', 'incense', 'tube', 'origami'}",17013d
17014a,origami vanilla incense cones,"{'incense', 'vanilla', 'cone', 'origami'}",17090a
17021,namaste swagat incense,"{'incense', 'swagat', 'namaste'}",17021
17028j,incense bazaar peach,"{'bazaar', 'incense', 'peach'}",17028j
17038,porcelain budah incense holder,"{'budah', 'porcelain', 'holder', 'incense'}",17038
17084a,tranquility masala incense,"{'masala', 'tranquility', 'incense'}",17084a
17084j,love potion masala incense,"{'masala', 'incense', 'love', 'potion'}",17084j
17084n,fairy dreams incense,"{'dream', 'incense', 'fairy'}",17084n
17084p,dragons blood incense,"{'blood', 'dragon', 'incense'}",17084p
17084r,assorted incense pack,"{'assorted', 'incense', 'pack'}",17084r
17090a,lavender incense cones in tin,"{'tin', 'incense', 'cone', 'lavender'}",17090a
17090d,vanilla incense cones in tin,"{'tin', 'incense', 'vanilla', 'cone'}",17090a
17091a,lavender incense in tin,"{'tin', 'incense', 'lavender'}",17090a
17091j,vanilla incense in tin,"{'tin', 'incense', 'vanilla'}",17090a
17096,assorted laquered incense holders,"{'laquered', 'holder', 'assorted', 'incense'}",17096
17107d,flower fairy summer bdraw liners,"{'fairy', 'bdraw', 'summer', 'liner', 'flower'}",17107d
17109d,flower fairy incense bouquet,"{'bouquet', 'incense', 'fairy', 'flower'}",17109d
17129f,blue glass gems in bag,"{'blue', 'gem', 'bag', 'glass'}",17129f
17136a,blue stones on wire for candle,"{'stone', 'blue', 'candle', 'wire'}",17136a
17164b,ass col small sand gecko pweight,"{'pweight', 'as', 'sand', 'col', 'small', 'gecko'}",17164b
17165d,ass col large sand frog pweight,"{'pweight', 'as', 'sand', 'col', 'large', 'frog'}",17164b
17174,asstd rasta keychains,"{'asstd', 'keychains', 'rasta'}",17174
17191a,rose flower candleincense xcm,"{'xcm', 'rose', 'flower', 'candleincense'}",17191a
18007,essential balm g tin in envelope,"{'tin', 'essential', 'balm', 'envelope'}",18007
18094c,white and blue ceramic oil burner,"{'white', 'ceramic', 'oil', 'burner', 'blue'}",21668
18097a,pink tall porcelain tlight holder,"{'holder', 'porcelain', 'tlight', 'pink', 'tall'}",18097a
18097c,white tall porcelain tlight holder,"{'holder', 'white', 'porcelain', 'tlight', 'tall'}",21816
18098c,porcelain butterfly oil burner,"{'porcelain', 'butterfly', 'oil', 'burner'}",18098c
20615,blue polkadot passport cover,"{'blue', 'polkadot', 'passport', 'cover'}",20615
20616,cherry blossom passport cover,"{'blossom', 'cherry', 'passport', 'cover'}",20616
20617,first class passport cover,"{'class', 'passport', 'cover', 'first'}",20617
20618,queen of the skies passport cover,"{'sky', 'queen', 'passport', 'cover'}",20618
20619,tropical passport cover,"{'passport', 'cover', 'tropical'}",20619
20622,vippassport cover,"{'vippassport', 'cover'}",20622
20652,blue polkadot luggage tag,"{'luggage', 'blue', 'polkadot', 'tag'}",20652
20653,cherry blossom luggage tag,"{'blossom', 'cherry', 'tag', 'luggage'}",20653
20654,first class luggage tag,"{'luggage', 'class', 'tag', 'first'}",20654
20655,queen of skies luggage tag,"{'luggage', 'sky', 'queen', 'tag'}",20655
20657,tropical luggage tag,"{'luggage', 'tag', 'tropical'}",20657
20658,red retrospot luggage tag,"{'luggage', 'retrospot', 'red', 'tag'}",20658
20659,economy luggage tag,"{'luggage', 'tag', 'economy'}",20659
20661,blue polkadot purse,"{'blue', 'polkadot', 'purse'}",20661
20662,first class holiday purse,"{'holiday', 'class', 'purse', 'first'}",20662
20663,queen of the skies holiday purse,"{'sky', 'queen', 'holiday', 'purse'}",20663
20664,tropical holiday purse,"{'holiday', 'purse', 'tropical'}",20664
20665,red retrospot purse,"{'retrospot', 'red', 'purse'}",20665
20666,economy holiday purse,"{'holiday', 'purse', 'economy'}",20666
20667,cherry blossom purse,"{'blossom', 'cherry', 'purse'}",20667
20668,disco ball christmas decoration,"{'decoration', 'disco', 'christmas', 'ball'}",20668
20669,red heart luggage tag,"{'luggage', 'heart', 'red', 'tag'}",20658
20670,vip holiday purse,"{'holiday', 'purse', 'vip'}",20670
20671,blue teatime print bowl,"{'blue', 'bowl', 'print', 'teatime'}",20671
20674,green polkadot bowl,"{'green', 'polkadot', 'bowl'}",20674
20675,blue polkadot bowl,"{'blue', 'polkadot', 'bowl'}",21392
20676,red retrospot bowl,"{'bowl', 'retrospot', 'red'}",20676
20677,pink polkadot bowl,"{'bowl', 'polkadot', 'pink'}",20677
20678,large black diamante hairslide,"{'black', 'large', 'diamante', 'hairslide'}",20678
20679,edwardian parasol red,"{'edwardian', 'parasol', 'red'}",20679
20681,pink polkadot childrens umbrella,"{'umbrella', 'polkadot', 'pink', 'childrens'}",84997a
20682,red retrospot childrens umbrella,"{'umbrella', 'retrospot', 'red', 'childrens'}",20682
20684,strawberry dream childs umbrella,"{'strawberry', 'dream', 'umbrella', 'child'}",20684
20685,doormat red retrospot,"{'doormat', 'retrospot', 'red'}",20685
20686,dolly mixture childrens umbrella,"{'mixture', 'umbrella', 'dolly', 'childrens'}",20686
20694,floral pink monster,"{'floral', 'pink', 'monster'}",20694
20695,floral blue monster,"{'blue', 'floral', 'monster'}",20695
20696,floral soft car toy,"{'soft', 'toy', 'floral', 'car'}",20696
20697,little green monster soft toy,"{'green', 'little', 'soft', 'toy', 'monster'}",20697
20698,little pink monster soft toy,"{'little', 'soft', 'toy', 'pink', 'monster'}",20697
20699,mousey long legs soft toy,"{'mousey', 'long', 'soft', 'toy', 'leg'}",20699
20700,green cat floral cushion cover,"{'green', 'cushion', 'floral', 'cover', 'cat'}",20700
20701,pink cat floral cushion cover,"{'cushion', 'floral', 'pink', 'cover', 'cat'}",21621
20702,pink padded mobile,"{'pink', 'padded', 'mobile'}",20702
20703,blue padded soft mobile,"{'soft', 'blue', 'mobile', 'padded'}",20703
20704,mr robot soft toy,"{'soft', 'toy', 'robot'}",20704
20705,mrs robot soft toy,"{'soft', 'toy', 'robot', 'mr'}",20704
20707,crazy daisy heart decoration,"{'decoration', 'crazy', 'heart', 'daisy'}",35971
20711,jumbo bag toys,"{'toy', 'jumbo', 'bag'}",20711
20712,jumbo bag woodland animals,"{'animal', 'jumbo', 'bag', 'woodland'}",20712
20713,jumbo bag owls,"{'owl', 'jumbo', 'bag'}",20713
20716,party food shopper bag,"{'shopper', 'party', 'bag', 'food'}",20716
20717,strawberry shopper bag,"{'strawberry', 'bag', 'shopper'}",20717
20718,red retrospot shopper bag,"{'shopper', 'retrospot', 'red', 'bag'}",23545
20719,woodland charlotte bag,"{'charlotte', 'bag', 'woodland'}",20719
20723,strawberry charlotte bag,"{'strawberry', 'charlotte', 'bag'}",20723
20724,red retrospot charlotte bag,"{'charlotte', 'retrospot', 'red', 'bag'}",23545
20725,lunch bag red retrospot,"{'lunch', 'retrospot', 'bag', 'red'}",23545
20726,lunch bag woodland,"{'lunch', 'bag', 'woodland'}",20726
20727,lunch bag black skull,"{'black', 'lunch', 'bag', 'skull'}",20727
